drug_name,generic_name
ソセゴン錠２５ｍｇ,塩酸ペンタゾシン
メロキシカム５ｍｇ錠,メロキシカム
モービック錠５ｍｇ,メロキシカム
メロキシカム錠５ｍｇ「ケミファ」,メロキシカム
メロキシカム錠５ｍｇ「サワイ」,メロキシカム
メロキシカム錠５ｍｇ「日医工」,メロキシカム
モービック錠１０ｍｇ,メロキシカム
メロキシカム錠１０ｍｇ「ＮＰ」,メロキシカム
メロキシカム錠１０ｍｇ「ＮＰＩ」,メロキシカム
メロキシカム錠１０ｍｇ「ケミファ」,メロキシカム
メロキシカム錠１０ｍｇ「サワイ」,メロキシカム
メロキシカム錠１０ｍｇ「トーワ」,メロキシカム
メロキシカム錠１０ｍｇ「日医工」,メロキシカム
メロキシカム錠１０ｍｇ「クニヒロ」,メロキシカム
ロルカム錠２ｍｇ,ロルノキシカム
ロルノキシカム錠２ｍｇ「ＫＯ」,ロルノキシカム
ロルカム錠４ｍｇ,ロルノキシカム
ロルノキシカム錠４ｍｇ「ＫＯ」,ロルノキシカム
セレコキシブ１００ｍｇ錠,セレコキシブ
セレコックス錠１００ｍｇ,セレコキシブ
セレコキシブ錠１００ｍｇ「杏林」,セレコキシブ
セレコキシブ錠１００ｍｇ「ケミファ」,セレコキシブ
セレコキシブ錠１００ｍｇ「サワイ」,セレコキシブ
セレコキシブ錠１００ｍｇ「トーワ」,セレコキシブ
セレコキシブ錠１００ｍｇ「日新」,セレコキシブ
セレコキシブ錠１００ｍｇ「フェルゼン」,セレコキシブ
セレコキシブ錠１００ｍｇ「三笠」,セレコキシブ
セレコキシブ錠１００ｍｇ「明治」,セレコキシブ
セレコキシブ錠１００ｍｇ「ＶＴＲＳ」,セレコキシブ
セレコキシブ２００ｍｇ錠,セレコキシブ
セレコックス錠２００ｍｇ,セレコキシブ
セレコキシブ錠２００ｍｇ「ＪＧ」,セレコキシブ
セレコキシブ錠２００ｍｇ「オーハラ」,セレコキシブ
セレコキシブ錠２００ｍｇ「杏林」,セレコキシブ
セレコキシブ錠２００ｍｇ「ケミファ」,セレコキシブ
セレコキシブ錠２００ｍｇ「サワイ」,セレコキシブ
セレコキシブ錠２００ｍｇ「武田テバ」,セレコキシブ
セレコキシブ錠２００ｍｇ「トーワ」,セレコキシブ
セレコキシブ錠２００ｍｇ「日新」,セレコキシブ
