disease_name,disease_kana,icd10_code
ＣＯＶＩＤ−１９関連の多系統炎症性症候群,ＣＯＶＩＤ−１９カンレンノタケイトウエンショウセイショウコウグン,U10
ＣＯＶＩＤ−１９関連の多系統炎症性症候群・詳細不明,ＣＯＶＩＤ−１９カンレンノタケイトウエンショウセイショウコウグン・ショウサイフメイ,U109
ＣＯＶＩＤ−１９後遺症,ＣＯＶＩＤ−１９コウイショウ,U09
ＣＯＶＩＤ−１９後遺症・詳細不明,ＣＯＶＩＤ−１９コウイショウ・ショウサイフメイ,U099
ＣＯＶＩＤ−１９の既往,ＣＯＶＩＤ−１９ノキオウ,U08
ＣＯＶＩＤ−１９の既往・詳細不明,ＣＯＶＩＤ−１９ノキオウ・ショウサイフメイ,U089
ＣＯＶＩＤ−１９の予防接種,ＣＯＶＩＤ−１９ノヨボウセッシュ,U11
ＣＯＶＩＤ−１９の予防接種・詳細不明,ＣＯＶＩＤ−１９ノヨボウセッシュ・ショウサイフメイ,U119
ＣＯＶＩＤ−１９肺炎,ＣＯＶＩＤ−１９ハイエン,U071
ＣＯＶＩＤ−１９ワクチン接種副反応,ＣＯＶＩＤ−１９ワクチンセッシュフクハンノウ,U12
ＣＯＶＩＤ−１９ワクチン接種副反応・詳細不明,ＣＯＶＩＤ−１９ワクチンセッシュフクハンノウ・ショウサイフメイ,U129
ＣＰＴ１欠損症,ＣＰＴ１ケッソンショウ,E713
ＣＰＴ２欠損症,ＣＰＴ２ケッソンショウ,E713
ＣＲ３欠損症,ＣＲ３ケッソンショウ,D71
ＣＲＨ産生腫瘍,ＣＲＨサンセイシュヨウ,E240
ＣＲＰ高値,ＣＲＰコウチ,R768
ＣＹＦＲＡ高値,ＣＹＦＲＡコウチ,R778
Ｃ管理中,Ｃカンリチュウ,K028
Ｃ型肝炎,Ｃガタカンエン,B182
Ｃ型肝炎ウイルス感染,Ｃガタカンエンウイルスカンセン,B182
Ｃ型肝炎ウイルス感染の既往,Ｃガタカンエンウイルスカンセンノキオウ,Z861
